record_id,kode_wilayah,nama_wilayah,tingkat_wilayah,tahun,topik,kode_indikator,nama_indikator,nilai,satuan,jenis_disagregasi_1,kategori_disagregasi_1,jenis_disagregasi_2,kategori_disagregasi_2,versi_wilayah,dataset_asal
ID-0000001,11,Aceh,provinsi,2017,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,16.93,% penduduk dalam kelompok,area,rural,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000002,11,Aceh,provinsi,2017,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,22.86,% penduduk dalam kelompok,area,total,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000003,11,Aceh,provinsi,2017,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,36.65,% penduduk dalam kelompok,area,urban,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000004,11,Aceh,provinsi,2018,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,23.64,% penduduk dalam kelompok,area,rural,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000005,11,Aceh,provinsi,2018,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,30.69,% penduduk dalam kelompok,area,total,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000006,11,Aceh,provinsi,2018,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,46.06,% penduduk dalam kelompok,area,urban,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000007,11,Aceh,provinsi,2018,Kesenjangan gender,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas menurut gender,27.98,% penduduk dalam kelompok,sex,female,,,id_34_pre_split,bps_internet_gender_history_province_2018_2024
ID-0000008,11,Aceh,provinsi,2018,Kesenjangan gender,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas menurut gender,33.43,% penduduk dalam kelompok,sex,male,,,id_34_pre_split,bps_internet_gender_history_province_2018_2024
ID-0000009,11,Aceh,provinsi,2019,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,28.93,% penduduk dalam kelompok,area,rural,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000010,11,Aceh,provinsi,2019,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,35.6,% penduduk dalam kelompok,area,total,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000011,11,Aceh,provinsi,2019,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,49.43,% penduduk dalam kelompok,area,urban,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000012,11,Aceh,provinsi,2019,Kesenjangan gender,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas menurut gender,32.01,% penduduk dalam kelompok,sex,female,,,id_34_pre_split,bps_internet_gender_history_province_2018_2024
ID-0000013,11,Aceh,provinsi,2019,Kesenjangan gender,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas menurut gender,39.23,% penduduk dalam kelompok,sex,male,,,id_34_pre_split,bps_internet_gender_history_province_2018_2024
ID-0000014,11,Aceh,provinsi,2020,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,35.41,% penduduk dalam kelompok,area,rural,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000015,11,Aceh,provinsi,2020,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,42.56,% penduduk dalam kelompok,area,total,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000016,11,Aceh,provinsi,2020,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,57.41,% penduduk dalam kelompok,area,urban,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000017,11,Aceh,provinsi,2020,Kesenjangan gender,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas menurut gender,38.7,% penduduk dalam kelompok,sex,female,,,id_34_pre_split,bps_internet_gender_history_province_2018_2024
ID-0000018,11,Aceh,provinsi,2020,Kesenjangan gender,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas menurut gender,46.46,% penduduk dalam kelompok,sex,male,,,id_34_pre_split,bps_internet_gender_history_province_2018_2024
ID-0000019,11,Aceh,provinsi,2021,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,42.86,% penduduk dalam kelompok,area,rural,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000020,11,Aceh,provinsi,2021,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,49.23,% penduduk dalam kelompok,area,total,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000021,11,Aceh,provinsi,2021,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,61.92,% penduduk dalam kelompok,area,urban,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
ID-0000022,11,Aceh,provinsi,2021,Akses rumah tangga,household_internet_pct,Rumah tangga dengan akses internet,71.41,% rumah tangga dalam klasifikasi daerah,area,rural,,,id_34_pre_split,bps_household_internet
ID-0000023,11,Aceh,provinsi,2021,Akses rumah tangga,household_internet_pct,Rumah tangga dengan akses internet,75.54,% rumah tangga dalam klasifikasi daerah,area,total,,,id_34_pre_split,bps_household_internet
ID-0000024,11,Aceh,provinsi,2021,Akses rumah tangga,household_internet_pct,Rumah tangga dengan akses internet,83.87,% rumah tangga dalam klasifikasi daerah,area,urban,,,id_34_pre_split,bps_household_internet
ID-0000025,11,Aceh,provinsi,2021,Kesenjangan gender,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas menurut gender,45.32,% penduduk dalam kelompok,sex,female,,,id_34_pre_split,bps_internet_gender_history_province_2018_2024
ID-0000026,11,Aceh,provinsi,2021,Kesenjangan gender,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas menurut gender,53.16,% penduduk dalam kelompok,sex,male,,,id_34_pre_split,bps_internet_gender_history_province_2018_2024
ID-0000027,11,Aceh,provinsi,2021,Literasi digital,digital_literacy_index,Indeks Literasi Digital Kominfo,3.57,poin 1–5,,,,,id_34_pre_split,kominfo_digital_literacy_province_2021
ID-0000028,11,Aceh,provinsi,2022,Akses internet,internet_access_pct,Akses internet penduduk usia 5 tahun ke atas,48.42,% penduduk dalam kelompok,area,rural,,,id_34_pre_split,bps_internet_access_history_province_2017_2024
