record_id,kode_wilayah,nama_wilayah,tingkat_wilayah,tahun,topik,kode_indikator,nama_indikator,nilai,satuan,jenis_disagregasi_1,kategori_disagregasi_1,jenis_disagregasi_2,kategori_disagregasi_2,dataset_asal,id_indikator_unik
SEA-0000001,BRN,Brunei Darussalam,negara,2008,Keterjangkauan internet,i154_FBB$,Fixed-broadband Internet basket (1GB) (2008-2017),118.55,USD,satuan_harga,USD,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_FBB$ | Keterjangkauan internet
SEA-0000002,BRN,Brunei Darussalam,negara,2008,Keterjangkauan internet,i154_FBB_GNI,Fixed-broadband Internet basket (1GB) (2008-2017),4.26,GNIpc,satuan_harga,GNIpc,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_FBB_GNI | Keterjangkauan internet
SEA-0000003,BRN,Brunei Darussalam,negara,2008,Keterjangkauan internet,i154_FBB_PPP,Fixed-broadband Internet basket (1GB) (2008-2017),195.06,PPP,satuan_harga,PPP,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_FBB_PPP | Keterjangkauan internet
SEA-0000004,BRN,Brunei Darussalam,negara,2008,Keterjangkauan internet,i154_Mob$,Mobile-cellular basket (30calls+100sms) (2008-2016),18.49,USD,satuan_harga,USD,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_Mob$ | Keterjangkauan internet
SEA-0000005,BRN,Brunei Darussalam,negara,2008,Keterjangkauan internet,i154_Mob_GNI,Mobile-cellular basket (30calls+100sms) (2008-2016),0.66,GNIpc,satuan_harga,GNIpc,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_Mob_GNI | Keterjangkauan internet
SEA-0000006,BRN,Brunei Darussalam,negara,2008,Keterjangkauan internet,i154_Mob_PPP,Mobile-cellular basket (30calls+100sms) (2008-2016),30.42,PPP,satuan_harga,PPP,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_Mob_PPP | Keterjangkauan internet
SEA-0000007,BRN,Brunei Darussalam,negara,2009,Keterjangkauan internet,i154_FBB$,Fixed-broadband Internet basket (1GB) (2008-2017),115.5,USD,satuan_harga,USD,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_FBB$ | Keterjangkauan internet
SEA-0000008,BRN,Brunei Darussalam,negara,2009,Keterjangkauan internet,i154_FBB_GNI,Fixed-broadband Internet basket (1GB) (2008-2017),4.39,GNIpc,satuan_harga,GNIpc,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_FBB_GNI | Keterjangkauan internet
SEA-0000009,BRN,Brunei Darussalam,negara,2009,Keterjangkauan internet,i154_FBB_PPP,Fixed-broadband Internet basket (1GB) (2008-2017),192.37,PPP,satuan_harga,PPP,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_FBB_PPP | Keterjangkauan internet
SEA-0000010,BRN,Brunei Darussalam,negara,2009,Keterjangkauan internet,i154_Mob$,Mobile-cellular basket (30calls+100sms) (2008-2016),18.0,USD,satuan_harga,USD,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_Mob$ | Keterjangkauan internet
SEA-0000011,BRN,Brunei Darussalam,negara,2009,Keterjangkauan internet,i154_Mob_GNI,Mobile-cellular basket (30calls+100sms) (2008-2016),0.68,GNIpc,satuan_harga,GNIpc,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_Mob_GNI | Keterjangkauan internet
SEA-0000012,BRN,Brunei Darussalam,negara,2009,Keterjangkauan internet,i154_Mob_PPP,Mobile-cellular basket (30calls+100sms) (2008-2016),29.98,PPP,satuan_harga,PPP,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_Mob_PPP | Keterjangkauan internet
SEA-0000013,BRN,Brunei Darussalam,negara,2010,Akses dan infrastruktur,electricity_access_pct,Penduduk dengan akses listrik,100.0,% penduduk,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_electricity_access_pct,electricity_access_pct | Akses dan infrastruktur
SEA-0000014,BRN,Brunei Darussalam,negara,2010,Akses dan infrastruktur,fixed_broadband_per100,Pelanggan broadband tetap per 100 penduduk,5.530774956,per 100 penduduk,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_fixed_broadband_per100,fixed_broadband_per100 | Akses dan infrastruktur
SEA-0000015,BRN,Brunei Darussalam,negara,2010,Akses dan infrastruktur,internet_users_pct,Pengguna internet,53.0,% penduduk,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_internet_users_pct,internet_users_pct | Akses dan infrastruktur
SEA-0000016,BRN,Brunei Darussalam,negara,2010,Akses dan infrastruktur,mobile_subscriptions_per100,Langganan telepon seluler per 100 penduduk,110.9019912,per 100 penduduk,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_mobile_subscriptions_per100,mobile_subscriptions_per100 | Akses dan infrastruktur
SEA-0000017,BRN,Brunei Darussalam,negara,2010,Keterjangkauan internet,i154_FBB$,Fixed-broadband Internet basket (1GB) (2008-2017),49.87,USD,satuan_harga,USD,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_FBB$ | Keterjangkauan internet
SEA-0000018,BRN,Brunei Darussalam,negara,2010,Keterjangkauan internet,i154_FBB_GNI,Fixed-broadband Internet basket (1GB) (2008-2017),1.88,GNIpc,satuan_harga,GNIpc,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_FBB_GNI | Keterjangkauan internet
SEA-0000019,BRN,Brunei Darussalam,negara,2010,Keterjangkauan internet,i154_FBB_PPP,Fixed-broadband Internet basket (1GB) (2008-2017),78.86,PPP,satuan_harga,PPP,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_FBB_PPP | Keterjangkauan internet
SEA-0000020,BRN,Brunei Darussalam,negara,2010,Keterjangkauan internet,i154_Mob$,Mobile-cellular basket (30calls+100sms) (2008-2016),19.65,USD,satuan_harga,USD,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_Mob$ | Keterjangkauan internet
SEA-0000021,BRN,Brunei Darussalam,negara,2010,Keterjangkauan internet,i154_Mob_GNI,Mobile-cellular basket (30calls+100sms) (2008-2016),0.73,GNIpc,satuan_harga,GNIpc,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_Mob_GNI | Keterjangkauan internet
SEA-0000022,BRN,Brunei Darussalam,negara,2010,Keterjangkauan internet,i154_Mob_PPP,Mobile-cellular basket (30calls+100sms) (2008-2016),30.37,PPP,satuan_harga,PPP,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_Mob_PPP | Keterjangkauan internet
SEA-0000023,BRN,Brunei Darussalam,negara,2010,Konteks sosial ekonomi,gni_per_capita_usd,Pendapatan nasional bruto per kapita,35370.0,USD berjalan,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_gni_per_capita_usd,gni_per_capita_usd | Konteks sosial ekonomi
SEA-0000024,BRN,Brunei Darussalam,negara,2010,Konteks sosial ekonomi,urban_population_pct,Penduduk yang tinggal di wilayah perkotaan,75.2506559,% penduduk,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_urban_population_pct,urban_population_pct | Konteks sosial ekonomi
SEA-0000025,BRN,Brunei Darussalam,negara,2010,Pendidikan dan inovasi,secondary_enrolment_gross_pct,Angka partisipasi kasar pendidikan menengah,101.0116882,% populasi usia sekolah resmi,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_secondary_enrolment_gross_pct,secondary_enrolment_gross_pct | Pendidikan dan inovasi
SEA-0000026,BRN,Brunei Darussalam,negara,2011,Akses dan infrastruktur,electricity_access_pct,Penduduk dengan akses listrik,100.0,% penduduk,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_electricity_access_pct,electricity_access_pct | Akses dan infrastruktur
SEA-0000027,BRN,Brunei Darussalam,negara,2011,Akses dan infrastruktur,fixed_broadband_per100,Pelanggan broadband tetap per 100 penduduk,5.805117317,per 100 penduduk,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_fixed_broadband_per100,fixed_broadband_per100 | Akses dan infrastruktur
SEA-0000028,BRN,Brunei Darussalam,negara,2011,Akses dan infrastruktur,internet_users_pct,Pengguna internet,56.0,% penduduk,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_internet_users_pct,internet_users_pct | Akses dan infrastruktur
SEA-0000029,BRN,Brunei Darussalam,negara,2011,Akses dan infrastruktur,mobile_subscriptions_per100,Langganan telepon seluler per 100 penduduk,110.959741,per 100 penduduk,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_mobile_subscriptions_per100,mobile_subscriptions_per100 | Akses dan infrastruktur
SEA-0000030,BRN,Brunei Darussalam,negara,2011,Keterjangkauan internet,i154_FBB$,Fixed-broadband Internet basket (1GB) (2008-2017),51.67,USD,satuan_harga,USD,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_FBB$ | Keterjangkauan internet
SEA-0000031,BRN,Brunei Darussalam,negara,2011,Keterjangkauan internet,i154_FBB_GNI,Fixed-broadband Internet basket (1GB) (2008-2017),1.92,GNIpc,satuan_harga,GNIpc,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_FBB_GNI | Keterjangkauan internet
SEA-0000032,BRN,Brunei Darussalam,negara,2011,Keterjangkauan internet,i154_FBB_PPP,Fixed-broadband Internet basket (1GB) (2008-2017),76.22,PPP,satuan_harga,PPP,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_FBB_PPP | Keterjangkauan internet
SEA-0000033,BRN,Brunei Darussalam,negara,2011,Keterjangkauan internet,i154_Mob$,Mobile-cellular basket (30calls+100sms) (2008-2016),19.45,USD,satuan_harga,USD,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_Mob$ | Keterjangkauan internet
SEA-0000034,BRN,Brunei Darussalam,negara,2011,Keterjangkauan internet,i154_Mob_GNI,Mobile-cellular basket (30calls+100sms) (2008-2016),0.68,GNIpc,satuan_harga,GNIpc,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_Mob_GNI | Keterjangkauan internet
SEA-0000035,BRN,Brunei Darussalam,negara,2011,Keterjangkauan internet,i154_Mob_PPP,Mobile-cellular basket (30calls+100sms) (2008-2016),28.83,PPP,satuan_harga,PPP,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_Mob_PPP | Keterjangkauan internet
SEA-0000036,BRN,Brunei Darussalam,negara,2011,Konteks sosial ekonomi,gni_per_capita_usd,Pendapatan nasional bruto per kapita,36520.0,USD berjalan,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_gni_per_capita_usd,gni_per_capita_usd | Konteks sosial ekonomi
SEA-0000037,BRN,Brunei Darussalam,negara,2011,Konteks sosial ekonomi,urban_population_pct,Penduduk yang tinggal di wilayah perkotaan,75.3121255,% penduduk,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_urban_population_pct,urban_population_pct | Konteks sosial ekonomi
SEA-0000038,BRN,Brunei Darussalam,negara,2011,Pendidikan dan inovasi,secondary_enrolment_gross_pct,Angka partisipasi kasar pendidikan menengah,102.1111221,% populasi usia sekolah resmi,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_secondary_enrolment_gross_pct,secondary_enrolment_gross_pct | Pendidikan dan inovasi
SEA-0000039,BRN,Brunei Darussalam,negara,2012,Akses dan infrastruktur,electricity_access_pct,Penduduk dengan akses listrik,100.0,% penduduk,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_electricity_access_pct,electricity_access_pct | Akses dan infrastruktur
SEA-0000040,BRN,Brunei Darussalam,negara,2012,Akses dan infrastruktur,fixed_broadband_per100,Pelanggan broadband tetap per 100 penduduk,4.894256541,per 100 penduduk,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_fixed_broadband_per100,fixed_broadband_per100 | Akses dan infrastruktur
SEA-0000041,BRN,Brunei Darussalam,negara,2012,Akses dan infrastruktur,internet_users_pct,Pengguna internet,60.27310181,% penduduk,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_internet_users_pct,internet_users_pct | Akses dan infrastruktur
SEA-0000042,BRN,Brunei Darussalam,negara,2012,Akses dan infrastruktur,mobile_subscriptions_per100,Langganan telepon seluler per 100 penduduk,115.8258888,per 100 penduduk,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_mobile_subscriptions_per100,mobile_subscriptions_per100 | Akses dan infrastruktur
SEA-0000043,BRN,Brunei Darussalam,negara,2012,Keterjangkauan internet,i154_FBB$,Fixed-broadband Internet basket (1GB) (2008-2017),52.02,USD,satuan_harga,USD,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_FBB$ | Keterjangkauan internet
SEA-0000044,BRN,Brunei Darussalam,negara,2012,Keterjangkauan internet,i154_FBB_GNI,Fixed-broadband Internet basket (1GB) (2008-2017),1.91,GNIpc,satuan_harga,GNIpc,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_FBB_GNI | Keterjangkauan internet
SEA-0000045,BRN,Brunei Darussalam,negara,2012,Keterjangkauan internet,i154_FBB_PPP,Fixed-broadband Internet basket (1GB) (2008-2017),77.44,PPP,satuan_harga,PPP,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_FBB_PPP | Keterjangkauan internet
SEA-0000046,BRN,Brunei Darussalam,negara,2012,Keterjangkauan internet,i154_Mob$,Mobile-cellular basket (30calls+100sms) (2008-2016),18.26,USD,satuan_harga,USD,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_Mob$ | Keterjangkauan internet
SEA-0000047,BRN,Brunei Darussalam,negara,2012,Keterjangkauan internet,i154_Mob_GNI,Mobile-cellular basket (30calls+100sms) (2008-2016),0.77,GNIpc,satuan_harga,GNIpc,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_Mob_GNI | Keterjangkauan internet
SEA-0000048,BRN,Brunei Darussalam,negara,2012,Keterjangkauan internet,i154_Mob_PPP,Mobile-cellular basket (30calls+100sms) (2008-2016),31.2,PPP,satuan_harga,PPP,periode_metodologi,historical_see_basket_name,itu_ict_price_baskets,i154_Mob_PPP | Keterjangkauan internet
SEA-0000049,BRN,Brunei Darussalam,negara,2012,Konteks sosial ekonomi,gni_per_capita_usd,Pendapatan nasional bruto per kapita,41690.0,USD berjalan,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_gni_per_capita_usd,gni_per_capita_usd | Konteks sosial ekonomi
SEA-0000050,BRN,Brunei Darussalam,negara,2012,Konteks sosial ekonomi,urban_population_pct,Penduduk yang tinggal di wilayah perkotaan,75.27142335,% penduduk,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_urban_population_pct,urban_population_pct | Konteks sosial ekonomi
SEA-0000051,BRN,Brunei Darussalam,negara,2012,Pendidikan dan inovasi,secondary_enrolment_gross_pct,Angka partisipasi kasar pendidikan menengah,105.2297592,% populasi usia sekolah resmi,tidak_ada,tidak_ada,tidak_ada,tidak_ada,wb_secondary_enrolment_gross_pct,secondary_enrolment_gross_pct | Pendidikan dan inovasi
