nama_wilayah,region_group,provinsi_induk_34
Aceh,Luar Jawa,Aceh
Bali,Luar Jawa,Bali
Banten,Jawa,Banten
Bengkulu,Luar Jawa,Bengkulu
DI Yogyakarta,Jawa,DI Yogyakarta
DKI Jakarta,Jawa,DKI Jakarta
Gorontalo,Luar Jawa,Gorontalo
Jambi,Luar Jawa,Jambi
Jawa Barat,Jawa,Jawa Barat
Jawa Tengah,Jawa,Jawa Tengah
Jawa Timur,Jawa,Jawa Timur
Kalimantan Barat,Luar Jawa,Kalimantan Barat
Kalimantan Selatan,Luar Jawa,Kalimantan Selatan
Kalimantan Tengah,Luar Jawa,Kalimantan Tengah
Kalimantan Timur,Luar Jawa,Kalimantan Timur
Kalimantan Utara,Luar Jawa,Kalimantan Utara
Kepulauan Bangka Belitung,Luar Jawa,Kepulauan Bangka Belitung
Kepulauan Riau,Luar Jawa,Kepulauan Riau
Lampung,Luar Jawa,Lampung
Maluku,Luar Jawa,Maluku
Maluku Utara,Luar Jawa,Maluku Utara
Nusa Tenggara Barat,Luar Jawa,Nusa Tenggara Barat
Nusa Tenggara Timur,Luar Jawa,Nusa Tenggara Timur
Papua,Luar Jawa,Papua
Papua Barat,Luar Jawa,Papua Barat
Papua Barat Daya,Luar Jawa,Papua Barat
Papua Pegunungan,Luar Jawa,Papua
Papua Selatan,Luar Jawa,Papua
Papua Tengah,Luar Jawa,Papua
Riau,Luar Jawa,Riau
Sulawesi Barat,Luar Jawa,Sulawesi Barat
Sulawesi Selatan,Luar Jawa,Sulawesi Selatan
Sulawesi Tengah,Luar Jawa,Sulawesi Tengah
Sulawesi Tenggara,Luar Jawa,Sulawesi Tenggara
Sulawesi Utara,Luar Jawa,Sulawesi Utara
Sumatera Barat,Luar Jawa,Sumatera Barat
Sumatera Selatan,Luar Jawa,Sumatera Selatan
Sumatera Utara,Luar Jawa,Sumatera Utara
