kode_wilayah,nama_wilayah,provinsi_induk_34,region_group,tahun,akses_rural_persen,akses_total_persen,akses_urban_persen,gap_rural_urban_pp
11,Aceh,Aceh,Luar Jawa,2017,16.93,22.86,36.65,19.72
11,Aceh,Aceh,Luar Jawa,2018,23.64,30.69,46.06,22.42
11,Aceh,Aceh,Luar Jawa,2019,28.93,35.6,49.43,20.5
11,Aceh,Aceh,Luar Jawa,2020,35.41,42.56,57.41,22.0
11,Aceh,Aceh,Luar Jawa,2021,42.86,49.23,61.92,19.060000000000002
11,Aceh,Aceh,Luar Jawa,2022,48.42,52.99,62.74,14.32
11,Aceh,Aceh,Luar Jawa,2023,53.93,59.3,69.43,15.500000000000007
11,Aceh,Aceh,Luar Jawa,2024,58.66,62.93,70.8,12.14
12,Sumatera Utara,Sumatera Utara,Luar Jawa,2017,18.13,27.63,36.67,18.540000000000003
12,Sumatera Utara,Sumatera Utara,Luar Jawa,2018,23.4,34.27,43.84,20.440000000000005
12,Sumatera Utara,Sumatera Utara,Luar Jawa,2019,30.04,41.38,50.8,20.759999999999998
12,Sumatera Utara,Sumatera Utara,Luar Jawa,2020,37.75,48.05,56.61,18.86
12,Sumatera Utara,Sumatera Utara,Luar Jawa,2021,49.3,59.17,67.04,17.74000000000001
12,Sumatera Utara,Sumatera Utara,Luar Jawa,2022,59.55,65.68,70.43,10.88000000000001
12,Sumatera Utara,Sumatera Utara,Luar Jawa,2023,64.48,70.29,74.68,10.200000000000003
12,Sumatera Utara,Sumatera Utara,Luar Jawa,2024,69.69,74.15,77.43,7.740000000000009
13,Sumatera Barat,Sumatera Barat,Luar Jawa,2017,20.11,29.63,42.97,22.86
13,Sumatera Barat,Sumatera Barat,Luar Jawa,2018,26.95,36.49,48.54,21.59
13,Sumatera Barat,Sumatera Barat,Luar Jawa,2019,30.65,41.15,52.88,22.230000000000004
13,Sumatera Barat,Sumatera Barat,Luar Jawa,2020,36.89,46.35,56.95,20.060000000000002
13,Sumatera Barat,Sumatera Barat,Luar Jawa,2021,48.27,58.14,68.29,20.020000000000003
13,Sumatera Barat,Sumatera Barat,Luar Jawa,2022,57.82,63.13,70.14,12.32
13,Sumatera Barat,Sumatera Barat,Luar Jawa,2023,62.85,68.64,74.35,11.499999999999993
13,Sumatera Barat,Sumatera Barat,Luar Jawa,2024,69.78,74.59,79.16,9.379999999999995
14,Riau,Riau,Luar Jawa,2017,22.93,32.16,46.08,23.15
14,Riau,Riau,Luar Jawa,2018,30.7,39.98,53.64,22.94
14,Riau,Riau,Luar Jawa,2019,36.45,44.97,57.5,21.049999999999997
14,Riau,Riau,Luar Jawa,2020,43.53,52.78,66.46,22.929999999999993
14,Riau,Riau,Luar Jawa,2021,55.92,62.83,73.13,17.209999999999994
14,Riau,Riau,Luar Jawa,2022,66.41,68.85,74.48,8.070000000000007
14,Riau,Riau,Luar Jawa,2023,67.89,73.02,80.66,12.769999999999996
14,Riau,Riau,Luar Jawa,2024,73.2,77.68,84.3,11.099999999999994
15,Jambi,Jambi,Luar Jawa,2017,20.39,26.67,40.37,19.979999999999997
15,Jambi,Jambi,Luar Jawa,2018,29.3,35.82,49.64,20.34
15,Jambi,Jambi,Luar Jawa,2019,35.63,42.68,57.3,21.669999999999995
15,Jambi,Jambi,Luar Jawa,2020,41.34,47.93,61.64,20.299999999999997
15,Jambi,Jambi,Luar Jawa,2021,49.22,56.07,70.08,20.86
15,Jambi,Jambi,Luar Jawa,2022,59.88,64.06,73.51,13.630000000000003
15,Jambi,Jambi,Luar Jawa,2023,64.42,68.14,75.59,11.170000000000002
15,Jambi,Jambi,Luar Jawa,2024,68.55,71.76,78.17,9.620000000000005
16,Sumatera Selatan,Sumatera Selatan,Luar Jawa,2017,16.72,25.65,41.09,24.370000000000005
16,Sumatera Selatan,Sumatera Selatan,Luar Jawa,2018,24.6,33.35,48.02,23.42
16,Sumatera Selatan,Sumatera Selatan,Luar Jawa,2019,29.36,38.14,52.83,23.47
16,Sumatera Selatan,Sumatera Selatan,Luar Jawa,2020,36.86,46.0,61.29,24.43
16,Sumatera Selatan,Sumatera Selatan,Luar Jawa,2021,47.67,56.89,72.17,24.5
16,Sumatera Selatan,Sumatera Selatan,Luar Jawa,2022,56.84,62.57,73.29,16.450000000000003
16,Sumatera Selatan,Sumatera Selatan,Luar Jawa,2023,59.79,66.66,77.89,18.1
16,Sumatera Selatan,Sumatera Selatan,Luar Jawa,2024,64.5,70.54,80.34,15.840000000000003
17,Bengkulu,Bengkulu,Luar Jawa,2017,16.79,26.71,47.66,30.869999999999997
17,Bengkulu,Bengkulu,Luar Jawa,2018,23.95,32.66,50.55,26.599999999999998
17,Bengkulu,Bengkulu,Luar Jawa,2019,30.57,40.72,61.2,30.630000000000003
17,Bengkulu,Bengkulu,Luar Jawa,2020,35.14,45.32,65.78,30.64
17,Bengkulu,Bengkulu,Luar Jawa,2021,45.9,54.97,73.24,27.339999999999996
17,Bengkulu,Bengkulu,Luar Jawa,2022,56.55,63.14,76.77,20.22
17,Bengkulu,Bengkulu,Luar Jawa,2023,59.34,66.25,79.94,20.599999999999994
17,Bengkulu,Bengkulu,Luar Jawa,2024,65.01,70.72,81.96,16.94999999999999
18,Lampung,Lampung,Luar Jawa,2017,17.23,22.45,36.17,18.94
18,Lampung,Lampung,Luar Jawa,2018,27.08,32.41,45.06,17.980000000000004
18,Lampung,Lampung,Luar Jawa,2019,33.31,40.17,55.56,22.25
18,Lampung,Lampung,Luar Jawa,2020,41.28,47.06,59.91,18.629999999999995
18,Lampung,Lampung,Luar Jawa,2021,55.65,59.94,69.1,13.449999999999996
18,Lampung,Lampung,Luar Jawa,2022,61.96,65.21,71.44,9.479999999999997
18,Lampung,Lampung,Luar Jawa,2023,67.63,70.68,76.8,9.170000000000002
18,Lampung,Lampung,Luar Jawa,2024,71.37,73.37,77.24,5.86999999999999
19,Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,Luar Jawa,2017,18.35,28.86,38.46,20.11
19,Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,Luar Jawa,2018,27.72,37.33,45.58,17.86
19,Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,Luar Jawa,2019,36.04,45.85,53.78,17.740000000000002
19,Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,Luar Jawa,2020,41.13,51.78,60.4,19.269999999999996
19,Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,Luar Jawa,2021,51.66,60.94,68.06,16.400000000000006
19,Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,Luar Jawa,2022,62.01,68.7,73.88,11.869999999999997
19,Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,Luar Jawa,2023,65.04,72.03,77.12,12.079999999999998
19,Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,Luar Jawa,2024,70.41,76.06,80.08,9.670000000000002
21,Kepulauan Riau,Kepulauan Riau,Luar Jawa,2017,22.79,48.35,52.89,30.1
21,Kepulauan Riau,Kepulauan Riau,Luar Jawa,2018,30.25,53.74,57.69,27.439999999999998
21,Kepulauan Riau,Kepulauan Riau,Luar Jawa,2019,38.42,65.02,68.06,29.64
21,Kepulauan Riau,Kepulauan Riau,Luar Jawa,2020,44.73,67.72,70.32,25.589999999999996
21,Kepulauan Riau,Kepulauan Riau,Luar Jawa,2021,52.35,81.03,83.39,31.04
21,Kepulauan Riau,Kepulauan Riau,Luar Jawa,2022,94.95,82.4,85.0,-9.950000000000003
21,Kepulauan Riau,Kepulauan Riau,Luar Jawa,2023,63.07,86.71,89.85,26.779999999999994
21,Kepulauan Riau,Kepulauan Riau,Luar Jawa,2024,69.66,89.26,91.52,21.86
31,DKI Jakarta,DKI Jakarta,Jawa,2017,,60.65,60.65,
31,DKI Jakarta,DKI Jakarta,Jawa,2018,,65.89,65.89,
31,DKI Jakarta,DKI Jakarta,Jawa,2019,,73.46,73.46,
31,DKI Jakarta,DKI Jakarta,Jawa,2020,,77.61,77.61,
31,DKI Jakarta,DKI Jakarta,Jawa,2021,,85.55,85.55,
31,DKI Jakarta,DKI Jakarta,Jawa,2022,,84.65,84.65,
31,DKI Jakarta,DKI Jakarta,Jawa,2023,,86.5,86.5,
31,DKI Jakarta,DKI Jakarta,Jawa,2024,,87.84,87.84,
32,Jawa Barat,Jawa Barat,Jawa,2017,22.2,37.02,42.83,20.63
32,Jawa Barat,Jawa Barat,Jawa,2018,28.84,45.33,51.11,22.27
32,Jawa Barat,Jawa Barat,Jawa,2019,37.35,53.94,59.05,21.699999999999996
32,Jawa Barat,Jawa Barat,Jawa,2020,44.02,59.9,64.76,20.740000000000002
32,Jawa Barat,Jawa Barat,Jawa,2021,52.36,68.37,72.88,20.519999999999996
32,Jawa Barat,Jawa Barat,Jawa,2022,56.73,71.12,74.68,17.95000000000001
32,Jawa Barat,Jawa Barat,Jawa,2023,60.52,72.54,75.66,15.139999999999993
32,Jawa Barat,Jawa Barat,Jawa,2024,65.35,76.62,79.42,14.070000000000007
33,Jawa Tengah,Jawa Tengah,Jawa,2017,23.64,30.73,38.03,14.39
33,Jawa Tengah,Jawa Tengah,Jawa,2018,30.57,38.51,46.06,15.490000000000002
33,Jawa Tengah,Jawa Tengah,Jawa,2019,40.52,47.74,54.61,14.089999999999996
33,Jawa Tengah,Jawa Tengah,Jawa,2020,47.97,54.72,61.13,13.160000000000004
33,Jawa Tengah,Jawa Tengah,Jawa,2021,56.04,62.2,67.95,11.910000000000004
33,Jawa Tengah,Jawa Tengah,Jawa,2022,62.62,67.73,71.84,9.220000000000006
33,Jawa Tengah,Jawa Tengah,Jawa,2023,65.61,70.0,73.91,8.299999999999997
33,Jawa Tengah,Jawa Tengah,Jawa,2024,69.78,73.15,76.08,6.299999999999997
34,DI Yogyakarta,DI Yogyakarta,Jawa,2017,26.87,45.38,53.21,26.34
34,DI Yogyakarta,DI Yogyakarta,Jawa,2018,35.79,55.45,62.78,26.990000000000002
34,DI Yogyakarta,DI Yogyakarta,Jawa,2019,44.84,61.73,68.04,23.200000000000003
34,DI Yogyakarta,DI Yogyakarta,Jawa,2020,53.61,68.68,74.28,20.67
34,DI Yogyakarta,DI Yogyakarta,Jawa,2021,60.35,74.0,78.78,18.43
34,DI Yogyakarta,DI Yogyakarta,Jawa,2022,63.71,75.38,79.37,15.660000000000004
34,DI Yogyakarta,DI Yogyakarta,Jawa,2023,68.03,78.61,82.16,14.129999999999995
34,DI Yogyakarta,DI Yogyakarta,Jawa,2024,68.24,80.1,83.98,15.740000000000009
35,Jawa Timur,Jawa Timur,Jawa,2017,21.79,31.17,40.21,18.42
35,Jawa Timur,Jawa Timur,Jawa,2018,28.45,38.75,48.15,19.7
35,Jawa Timur,Jawa Timur,Jawa,2019,36.86,47.1,56.04,19.18
35,Jawa Timur,Jawa Timur,Jawa,2020,43.65,53.49,62.07,18.42
35,Jawa Timur,Jawa Timur,Jawa,2021,49.93,59.34,67.14,17.21
35,Jawa Timur,Jawa Timur,Jawa,2022,55.68,64.28,70.78,15.100000000000001
35,Jawa Timur,Jawa Timur,Jawa,2023,57.89,66.17,72.67,14.780000000000001
35,Jawa Timur,Jawa Timur,Jawa,2024,61.69,69.36,75.22,13.530000000000001
36,Banten,Banten,Jawa,2017,17.41,37.46,46.07,28.66
36,Banten,Banten,Jawa,2018,27.09,47.9,56.33,29.24
36,Banten,Banten,Jawa,2019,35.06,56.25,64.71,29.64999999999999
36,Banten,Banten,Jawa,2020,37.48,58.63,66.95,29.470000000000006
36,Banten,Banten,Jawa,2021,46.67,67.14,75.25,28.58
36,Banten,Banten,Jawa,2022,48.01,70.73,76.44,28.43
36,Banten,Banten,Jawa,2023,54.93,71.73,76.54,21.610000000000007
36,Banten,Banten,Jawa,2024,56.77,75.17,79.82,23.04999999999999
51,Bali,Bali,Luar Jawa,2017,24.89,39.49,47.76,22.869999999999997
51,Bali,Bali,Luar Jawa,2018,31.76,46.42,53.93,22.169999999999998
51,Bali,Bali,Luar Jawa,2019,38.29,54.08,61.27,22.980000000000004
51,Bali,Bali,Luar Jawa,2020,44.22,61.06,68.69,24.47
51,Bali,Bali,Luar Jawa,2021,53.79,67.75,73.61,19.82
51,Bali,Bali,Luar Jawa,2022,57.79,70.59,75.38,17.589999999999996
51,Bali,Bali,Luar Jawa,2023,61.16,73.34,78.06,16.900000000000006
51,Bali,Bali,Luar Jawa,2024,66.39,77.56,81.73,15.340000000000003
52,Nusa Tenggara Barat,Nusa Tenggara Barat,Luar Jawa,2017,17.08,22.64,29.49,12.41
52,Nusa Tenggara Barat,Nusa Tenggara Barat,Luar Jawa,2018,21.71,28.31,35.87,14.159999999999997
52,Nusa Tenggara Barat,Nusa Tenggara Barat,Luar Jawa,2019,30.55,39.16,48.32,17.77
52,Nusa Tenggara Barat,Nusa Tenggara Barat,Luar Jawa,2020,36.57,44.28,52.46,15.89
52,Nusa Tenggara Barat,Nusa Tenggara Barat,Luar Jawa,2021,44.68,52.96,61.28,16.6
52,Nusa Tenggara Barat,Nusa Tenggara Barat,Luar Jawa,2022,53.84,59.39,65.01,11.170000000000002
52,Nusa Tenggara Barat,Nusa Tenggara Barat,Luar Jawa,2023,57.03,63.2,69.01,11.980000000000004
52,Nusa Tenggara Barat,Nusa Tenggara Barat,Luar Jawa,2024,63.76,68.52,72.88,9.119999999999997
53,Nusa Tenggara Timur,Nusa Tenggara Timur,Luar Jawa,2017,10.89,17.88,42.81,31.92
53,Nusa Tenggara Timur,Nusa Tenggara Timur,Luar Jawa,2018,13.1,21.1,47.69,34.589999999999996
53,Nusa Tenggara Timur,Nusa Tenggara Timur,Luar Jawa,2019,18.2,26.29,51.84,33.64
53,Nusa Tenggara Timur,Nusa Tenggara Timur,Luar Jawa,2020,23.17,32.04,59.88,36.71
53,Nusa Tenggara Timur,Nusa Tenggara Timur,Luar Jawa,2021,34.36,43.14,69.49,35.129999999999995
53,Nusa Tenggara Timur,Nusa Tenggara Timur,Luar Jawa,2022,38.49,47.39,73.58,35.089999999999996
53,Nusa Tenggara Timur,Nusa Tenggara Timur,Luar Jawa,2023,42.71,51.06,74.42,31.71
53,Nusa Tenggara Timur,Nusa Tenggara Timur,Luar Jawa,2024,46.73,54.84,76.88,30.15
61,Kalimantan Barat,Kalimantan Barat,Luar Jawa,2017,14.38,24.17,45.21,30.83
61,Kalimantan Barat,Kalimantan Barat,Luar Jawa,2018,20.74,30.99,51.0,30.26
61,Kalimantan Barat,Kalimantan Barat,Luar Jawa,2019,27.2,38.38,59.02,31.820000000000004
61,Kalimantan Barat,Kalimantan Barat,Luar Jawa,2020,34.14,45.16,65.5,31.36
61,Kalimantan Barat,Kalimantan Barat,Luar Jawa,2021,45.28,54.8,71.65,26.370000000000005
61,Kalimantan Barat,Kalimantan Barat,Luar Jawa,2022,53.14,62.08,77.72,24.58
61,Kalimantan Barat,Kalimantan Barat,Luar Jawa,2023,58.87,66.39,78.94,20.07
61,Kalimantan Barat,Kalimantan Barat,Luar Jawa,2024,64.02,71.57,83.78,19.760000000000005
62,Kalimantan Tengah,Kalimantan Tengah,Luar Jawa,2017,19.95,29.35,46.07,26.12
62,Kalimantan Tengah,Kalimantan Tengah,Luar Jawa,2018,27.67,36.17,49.67,22.0
62,Kalimantan Tengah,Kalimantan Tengah,Luar Jawa,2019,36.95,46.73,61.21,24.259999999999998
62,Kalimantan Tengah,Kalimantan Tengah,Luar Jawa,2020,41.04,51.18,66.22,25.18
62,Kalimantan Tengah,Kalimantan Tengah,Luar Jawa,2021,51.06,59.97,72.55,21.489999999999995
62,Kalimantan Tengah,Kalimantan Tengah,Luar Jawa,2022,57.58,65.79,77.3,19.72
62,Kalimantan Tengah,Kalimantan Tengah,Luar Jawa,2023,64.0,71.34,81.08,17.08
62,Kalimantan Tengah,Kalimantan Tengah,Luar Jawa,2024,68.19,75.23,84.29,16.10000000000001
63,Kalimantan Selatan,Kalimantan Selatan,Luar Jawa,2017,21.02,31.37,44.42,23.400000000000002
63,Kalimantan Selatan,Kalimantan Selatan,Luar Jawa,2018,29.92,40.89,53.46,23.54
63,Kalimantan Selatan,Kalimantan Selatan,Luar Jawa,2019,39.04,50.37,63.01,23.97
63,Kalimantan Selatan,Kalimantan Selatan,Luar Jawa,2020,44.41,55.2,67.19,22.78
63,Kalimantan Selatan,Kalimantan Selatan,Luar Jawa,2021,56.47,66.01,76.2,19.730000000000004
63,Kalimantan Selatan,Kalimantan Selatan,Luar Jawa,2022,63.32,70.26,77.36,14.04
63,Kalimantan Selatan,Kalimantan Selatan,Luar Jawa,2023,65.56,72.13,78.81,13.25
63,Kalimantan Selatan,Kalimantan Selatan,Luar Jawa,2024,68.96,74.82,80.63,11.670000000000002
64,Kalimantan Timur,Kalimantan Timur,Luar Jawa,2017,28.73,42.14,48.97,20.24
64,Kalimantan Timur,Kalimantan Timur,Luar Jawa,2018,35.82,50.25,57.39,21.57
64,Kalimantan Timur,Kalimantan Timur,Luar Jawa,2019,47.81,59.12,64.54,16.730000000000004
64,Kalimantan Timur,Kalimantan Timur,Luar Jawa,2020,53.24,66.24,72.52,19.279999999999994
64,Kalimantan Timur,Kalimantan Timur,Luar Jawa,2021,63.51,74.47,79.44,15.93
64,Kalimantan Timur,Kalimantan Timur,Luar Jawa,2022,72.37,80.56,84.57,12.199999999999989
64,Kalimantan Timur,Kalimantan Timur,Luar Jawa,2023,71.55,80.46,84.44,12.89
64,Kalimantan Timur,Kalimantan Timur,Luar Jawa,2024,77.91,84.44,87.33,9.420000000000002
65,Kalimantan Utara,Kalimantan Utara,Luar Jawa,2017,26.55,36.4,43.72,17.169999999999998
65,Kalimantan Utara,Kalimantan Utara,Luar Jawa,2018,37.15,46.87,53.93,16.78
65,Kalimantan Utara,Kalimantan Utara,Luar Jawa,2019,39.69,54.3,63.65,23.96
65,Kalimantan Utara,Kalimantan Utara,Luar Jawa,2020,48.89,60.52,68.06,19.17
65,Kalimantan Utara,Kalimantan Utara,Luar Jawa,2021,53.94,69.26,78.68,24.74000000000001
65,Kalimantan Utara,Kalimantan Utara,Luar Jawa,2022,64.15,77.43,83.64,19.489999999999995
65,Kalimantan Utara,Kalimantan Utara,Luar Jawa,2023,68.02,77.03,82.05,14.030000000000001
65,Kalimantan Utara,Kalimantan Utara,Luar Jawa,2024,69.24,77.44,81.92,12.680000000000007
71,Sulawesi Utara,Sulawesi Utara,Luar Jawa,2017,25.15,35.44,46.8,21.65
71,Sulawesi Utara,Sulawesi Utara,Luar Jawa,2018,30.09,40.59,50.98,20.889999999999997
71,Sulawesi Utara,Sulawesi Utara,Luar Jawa,2019,37.06,46.73,55.56,18.5
71,Sulawesi Utara,Sulawesi Utara,Luar Jawa,2020,41.3,51.8,61.38,20.080000000000005
71,Sulawesi Utara,Sulawesi Utara,Luar Jawa,2021,49.99,59.73,67.98,17.990000000000002
71,Sulawesi Utara,Sulawesi Utara,Luar Jawa,2022,53.55,61.63,69.2,15.650000000000006
71,Sulawesi Utara,Sulawesi Utara,Luar Jawa,2023,56.13,64.81,71.91,15.779999999999994
71,Sulawesi Utara,Sulawesi Utara,Luar Jawa,2024,60.13,68.44,75.08,14.949999999999996
72,Sulawesi Tengah,Sulawesi Tengah,Luar Jawa,2017,16.61,24.88,48.32,31.71
72,Sulawesi Tengah,Sulawesi Tengah,Luar Jawa,2018,20.72,28.94,50.09,29.370000000000005
72,Sulawesi Tengah,Sulawesi Tengah,Luar Jawa,2019,26.74,35.52,55.92,29.180000000000003
72,Sulawesi Tengah,Sulawesi Tengah,Luar Jawa,2020,32.95,42.82,65.88,32.92999999999999
72,Sulawesi Tengah,Sulawesi Tengah,Luar Jawa,2021,42.43,50.15,67.25,24.82
72,Sulawesi Tengah,Sulawesi Tengah,Luar Jawa,2022,48.4,54.49,67.96,19.559999999999995
72,Sulawesi Tengah,Sulawesi Tengah,Luar Jawa,2023,50.68,58.22,73.81,23.130000000000003
72,Sulawesi Tengah,Sulawesi Tengah,Luar Jawa,2024,55.7,62.44,75.99,20.289999999999992
73,Sulawesi Selatan,Sulawesi Selatan,Luar Jawa,2017,19.97,30.35,46.21,26.240000000000002
73,Sulawesi Selatan,Sulawesi Selatan,Luar Jawa,2018,27.07,37.09,51.08,24.009999999999998
73,Sulawesi Selatan,Sulawesi Selatan,Luar Jawa,2019,33.28,43.91,57.76,24.479999999999997
73,Sulawesi Selatan,Sulawesi Selatan,Luar Jawa,2020,39.39,49.59,62.89,23.5
73,Sulawesi Selatan,Sulawesi Selatan,Luar Jawa,2021,50.08,59.69,71.49,21.409999999999997
