kode_wilayah,nama_wilayah,tahun,gni_per_kapita_usd,satuan_gni,pengguna_internet_persen,satuan_pengguna
BRN,Brunei Darussalam,2010,35370.0,USD berjalan,53.0,% penduduk
BRN,Brunei Darussalam,2011,36520.0,USD berjalan,56.0,% penduduk
BRN,Brunei Darussalam,2012,41690.0,USD berjalan,60.27310181,% penduduk
BRN,Brunei Darussalam,2013,44580.0,USD berjalan,64.5,% penduduk
BRN,Brunei Darussalam,2014,42370.0,USD berjalan,68.76999664,% penduduk
BRN,Brunei Darussalam,2015,38180.0,USD berjalan,71.19999695,% penduduk
BRN,Brunei Darussalam,2016,32570.0,USD berjalan,90.0,% penduduk
BRN,Brunei Darussalam,2017,29230.0,USD berjalan,94.86669922,% penduduk
BRN,Brunei Darussalam,2018,28790.0,USD berjalan,95.0,% penduduk
BRN,Brunei Darussalam,2019,31550.0,USD berjalan,95.0,% penduduk
BRN,Brunei Darussalam,2020,30810.0,USD berjalan,96.30549622,% penduduk
BRN,Brunei Darussalam,2021,29890.0,USD berjalan,97.62879944,% penduduk
BRN,Brunei Darussalam,2022,30970.0,USD berjalan,98.97042579,% penduduk
BRN,Brunei Darussalam,2023,34390.0,USD berjalan,98.97039795,% penduduk
BRN,Brunei Darussalam,2024,36020.0,USD berjalan,96.29828801,% penduduk
BRN,Brunei Darussalam,2025,34790.0,USD berjalan,,
KHM,Cambodia,2010,910.0,USD berjalan,1.26,% penduduk
KHM,Cambodia,2011,990.0,USD berjalan,3.099999905,% penduduk
KHM,Cambodia,2012,1110.0,USD berjalan,4.94,% penduduk
KHM,Cambodia,2013,1230.0,USD berjalan,6.0,% penduduk
KHM,Cambodia,2014,1330.0,USD berjalan,14.0,% penduduk
KHM,Cambodia,2015,1430.0,USD berjalan,6.43319107,% penduduk
KHM,Cambodia,2016,1550.0,USD berjalan,32.39845171,% penduduk
KHM,Cambodia,2017,1690.0,USD berjalan,32.90027854,% penduduk
KHM,Cambodia,2018,1920.0,USD berjalan,65.0,% penduduk
KHM,Cambodia,2019,2100.0,USD berjalan,52.30587822,% penduduk
KHM,Cambodia,2020,2050.0,USD berjalan,56.37590027,% penduduk
KHM,Cambodia,2021,2120.0,USD berjalan,60.76269913,% penduduk
KHM,Cambodia,2022,2270.0,USD berjalan,65.49079895,% penduduk
KHM,Cambodia,2023,2390.0,USD berjalan,68.92549896,% penduduk
KHM,Cambodia,2024,2550.0,USD berjalan,68.47530365,% penduduk
KHM,Cambodia,2025,2750.0,USD berjalan,,
IDN,Indonesia,2010,2490.0,USD berjalan,10.92,% penduduk
IDN,Indonesia,2011,2960.0,USD berjalan,12.28,% penduduk
IDN,Indonesia,2012,3520.0,USD berjalan,14.52,% penduduk
IDN,Indonesia,2013,3670.0,USD berjalan,14.94,% penduduk
IDN,Indonesia,2014,3570.0,USD berjalan,17.14315984,% penduduk
IDN,Indonesia,2015,3390.0,USD berjalan,22.0627426,% penduduk
IDN,Indonesia,2016,3370.0,USD berjalan,25.4473537,% penduduk
IDN,Indonesia,2017,3490.0,USD berjalan,32.33580625,% penduduk
IDN,Indonesia,2018,3810.0,USD berjalan,39.90463864,% penduduk
IDN,Indonesia,2019,4020.0,USD berjalan,47.69064898,% penduduk
IDN,Indonesia,2020,3850.0,USD berjalan,53.72649449,% penduduk
IDN,Indonesia,2021,4130.0,USD berjalan,62.10447842,% penduduk
IDN,Indonesia,2022,4520.0,USD berjalan,66.48461277,% penduduk
IDN,Indonesia,2023,4810.0,USD berjalan,69.20836554,% penduduk
IDN,Indonesia,2024,4920.0,USD berjalan,72.78075544,% penduduk
IDN,Indonesia,2025,5120.0,USD berjalan,,
LAO,Laos,2010,990.0,USD berjalan,7.0,% penduduk
LAO,Laos,2011,1130.0,USD berjalan,9.0,% penduduk
LAO,Laos,2012,1350.0,USD berjalan,10.74769974,% penduduk
LAO,Laos,2013,1590.0,USD berjalan,12.5,% penduduk
LAO,Laos,2014,1810.0,USD berjalan,14.26000023,% penduduk
LAO,Laos,2015,1960.0,USD berjalan,18.20000076,% penduduk
LAO,Laos,2016,2110.0,USD berjalan,21.87000084,% penduduk
LAO,Laos,2017,2240.0,USD berjalan,25.51040077,% penduduk
LAO,Laos,2018,2460.0,USD berjalan,36.27130127,% penduduk
LAO,Laos,2019,2520.0,USD berjalan,47.03229904,% penduduk
LAO,Laos,2020,2470.0,USD berjalan,54.0,% penduduk
LAO,Laos,2021,2500.0,USD berjalan,62.0,% penduduk
LAO,Laos,2022,2300.0,USD berjalan,64.54000092,% penduduk
LAO,Laos,2023,2110.0,USD berjalan,64.39800262,% penduduk
LAO,Laos,2024,2000.0,USD berjalan,65.59269714,% penduduk
LAO,Laos,2025,2150.0,USD berjalan,,
MYS,Malaysia,2010,8130.0,USD berjalan,56.3,% penduduk
MYS,Malaysia,2011,8890.0,USD berjalan,61.0,% penduduk
MYS,Malaysia,2012,9980.0,USD berjalan,65.8,% penduduk
MYS,Malaysia,2013,10590.0,USD berjalan,57.05751226,% penduduk
MYS,Malaysia,2014,10840.0,USD berjalan,63.66542588,% penduduk
MYS,Malaysia,2015,10350.0,USD berjalan,71.06406781,% penduduk
MYS,Malaysia,2016,9800.0,USD berjalan,78.78830993,% penduduk
MYS,Malaysia,2017,9560.0,USD berjalan,80.14047901,% penduduk
MYS,Malaysia,2018,10200.0,USD berjalan,81.20104862,% penduduk
MYS,Malaysia,2019,10750.0,USD berjalan,84.18714501,% penduduk
MYS,Malaysia,2020,10110.0,USD berjalan,89.55501192,% penduduk
MYS,Malaysia,2021,10520.0,USD berjalan,96.7514278,% penduduk
MYS,Malaysia,2022,11620.0,USD berjalan,97.3986404,% penduduk
MYS,Malaysia,2023,11700.0,USD berjalan,97.69272633,% penduduk
MYS,Malaysia,2024,11650.0,USD berjalan,98.0206059,% penduduk
MYS,Malaysia,2025,12380.0,USD berjalan,,
MMR,Myanmar,2010,880.0,USD berjalan,0.25,% penduduk
MMR,Myanmar,2011,1040.0,USD berjalan,0.98,% penduduk
MMR,Myanmar,2012,1170.0,USD berjalan,1.399999976,% penduduk
MMR,Myanmar,2013,1260.0,USD berjalan,1.799999952,% penduduk
MMR,Myanmar,2014,1260.0,USD berjalan,7.400000095,% penduduk
MMR,Myanmar,2015,1230.0,USD berjalan,10.89999962,% penduduk
MMR,Myanmar,2016,1230.0,USD berjalan,16.0,% penduduk
MMR,Myanmar,2017,1230.0,USD berjalan,23.62108195,% penduduk
MMR,Myanmar,2018,1310.0,USD berjalan,29.37899971,% penduduk
MMR,Myanmar,2019,1380.0,USD berjalan,36.54050064,% penduduk
MMR,Myanmar,2020,1320.0,USD berjalan,45.4477005,% penduduk
MMR,Myanmar,2021,1240.0,USD berjalan,,
MMR,Myanmar,2022,1280.0,USD berjalan,,
MMR,Myanmar,2023,1220.0,USD berjalan,,
MMR,Myanmar,2024,1210.0,USD berjalan,,
MMR,Myanmar,2025,1320.0,USD berjalan,,
PHL,Philippines,2010,2310.0,USD berjalan,25.0,% penduduk
PHL,Philippines,2011,2450.0,USD berjalan,29.0,% penduduk
PHL,Philippines,2012,2780.0,USD berjalan,30.79999924,% penduduk
PHL,Philippines,2013,3060.0,USD berjalan,32.70000076,% penduduk
PHL,Philippines,2014,3220.0,USD berjalan,34.70000076,% penduduk
PHL,Philippines,2015,3280.0,USD berjalan,36.90000153,% penduduk
PHL,Philippines,2016,3350.0,USD berjalan,39.20000076,% penduduk
PHL,Philippines,2017,3440.0,USD berjalan,41.59999847,% penduduk
PHL,Philippines,2018,3610.0,USD berjalan,44.09999847,% penduduk
PHL,Philippines,2019,3760.0,USD berjalan,43.02661187,% penduduk
PHL,Philippines,2020,3350.0,USD berjalan,53.76490021,% penduduk
PHL,Philippines,2021,3570.0,USD berjalan,66.90779877,% penduduk
PHL,Philippines,2022,4010.0,USD berjalan,75.21114422,% penduduk
PHL,Philippines,2023,4320.0,USD berjalan,77.86699677,% penduduk
PHL,Philippines,2024,4470.0,USD berjalan,67.26300914,% penduduk
PHL,Philippines,2025,4850.0,USD berjalan,,
SGP,Singapore,2010,44930.0,USD berjalan,71.0,% penduduk
SGP,Singapore,2011,48250.0,USD berjalan,71.0,% penduduk
SGP,Singapore,2012,51710.0,USD berjalan,72.0,% penduduk
SGP,Singapore,2013,54470.0,USD berjalan,80.90209961,% penduduk
SGP,Singapore,2014,56380.0,USD berjalan,79.02923586,% penduduk
SGP,Singapore,2015,53160.0,USD berjalan,79.012957,% penduduk
SGP,Singapore,2016,53600.0,USD berjalan,84.45226789,% penduduk
SGP,Singapore,2017,55360.0,USD berjalan,84.45226789,% penduduk
SGP,Singapore,2018,56440.0,USD berjalan,88.16563603,% penduduk
SGP,Singapore,2019,58510.0,USD berjalan,88.94925269,% penduduk
